cell_id,centroid_lat,centroid_lon,noise_night_count,peak_hour
5570,40.60173070343088,-73.90354948705854,0,-1
5383,40.6075366827319,-73.91478240042909,81,23
5571,40.607529919130364,-73.90417829567707,10,0
5477,40.60767409192587,-73.90979157591215,64,22
5384,40.61201398998755,-73.91523001590676,4,23
5478,40.61192469689466,-73.90949320619173,57,22
6043,40.61730309322756,-73.87425212162385,0,-1
6138,40.620574714884214,-73.86851408222635,0,-1
6044,40.62045770063292,-73.8735243006865,0,-1
6139,40.62482190942987,-73.86796722209144,0,-1
6045,40.623830641667055,-73.8724888837351,0,-1
5666,40.61183559552048,-73.89763896266656,0,-1
5667,40.616225092123535,-73.89833901691934,3,0
5668,40.620275386040724,-73.89812356063902,0,-1
5763,40.62575026086523,-73.89253973185807,0,-1
5669,40.625451919647574,-73.89726772367355,1,22
5572,40.61186154957769,-73.903758917925,14,22
5385,40.61652626023972,-73.91534623216238,105,22
5479,40.616536371209996,-73.90976207393618,73,22
5573,40.61645599710165,-73.90339345417114,32,23
5386,40.62098789067738,-73.91525668532265,135,23
5480,40.62093222158268,-73.90934629308784,122,22
5574,40.62080781579771,-73.9035346694574,70,22
5387,40.62549149623262,-73.91518381705453,189,23
5481,40.62519696398426,-73.90950909248444,194,22
5575,40.62559402357877,-73.90364436049056,34,23
5953,40.63474298080822,-73.88047394814642,9,1
5954,40.638631167214804,-73.87979846320141,2,3
6048,40.63887359008705,-73.87352549692694,0,-1
5955,40.643360028779966,-73.87910750783706,90,23
5388,40.62980865302597,-73.91529670928233,38,23
5482,40.63028332206142,-73.9089274982021,176,1
5576,40.62988342228233,-73.9032885768604,235,0
5389,40.63449869644841,-73.91503803111122,219,22
5483,40.63444300095847,-73.90912644807925,352,23
5577,40.63438700292746,-73.903214881613,166,22
5390,40.639002291108724,-73.9149651134276,319,0
5484,40.638946586818044,-73.90905313328392,380,23
5578,40.638890579938476,-73.90314116971017,185,22
5391,40.64350588213717,-73.91489217926379,186,6
5858,40.630104388721094,-73.88590220528502,272,22
5764,40.62977281236316,-73.89146920077623,58,22
5670,40.629827130607836,-73.89737742406311,148,0
5859,40.634217193612606,-73.88548028250544,484,23
5765,40.63427409925204,-73.89139179873641,425,23
5671,40.634330702357815,-73.89730333180215,306,0
5672,40.638834270472515,-73.89722922279608,282,23
5766,40.63877765842262,-73.89131729263141,213,23
5860,40.63872074379127,-73.88540537930578,140,22
5673,40.64333783495181,-73.89715509704067,318,22
188,40.49868309791397,-74.2418891997802,2,2
94,40.49817805589711,-74.24763817843,0,-1
1,40.502309355761,-74.25245188176415,26,22
189,40.50197415301032,-74.24172475149118,37,22
283,40.50222405115789,-74.23604393152253,136,22
95,40.50201271934357,-74.24762524128398,47,22
2,40.50653454824722,-74.25292565208714,28,23
190,40.506478265371776,-74.2416740257513,120,22
471,40.503151439709725,-74.22422044832987,0,-1
377,40.50302859318697,-74.2301503212687,9,22
472,40.506360740437565,-74.22397144157603,10,23
378,40.50640021668672,-74.22987229136352,29,0
566,40.506446583044514,-74.21825684684308,0,-1
473,40.51086483063862,-74.22391952024284,1,22
660,40.50762515058998,-74.21379359486107,0,-1
661,40.510988839387466,-74.21244362043052,0,-1
284,40.50643939166536,-74.23577315278496,36,22
96,40.506516837804256,-74.24757491017341,33,22
3,40.510785021371625,-74.25184702052441,36,22
191,40.510982374158786,-74.24162328855566,75,22
285,40.510943494304684,-74.23572202087385,67,22
97,40.51102095269131,-74.24752456769616,91,22
286,40.51544759336866,-74.23567087741495,22,22
192,40.51548647937126,-74.24157253990134,23,23
98,40.51492914986743,-74.24708737697077,226,22
379,40.510904313130716,-74.22982076473988,15,23
567,40.51082504683011,-74.21801828747186,0,-1
474,40.51536891726268,-74.22386758718359,0,-1
380,40.51540840599856,-74.22976922647932,14,2
568,40.51532912716272,-74.2179659596169,0,-1
381,40.519912495290114,-74.22971767657883,3,0
569,40.51983320391743,-74.21791361994377,2,0
475,40.51987300030962,-74.22381564239531,9,23
476,40.524377079779384,-74.22376368587496,12,22
570,40.5243372770941,-74.21786126844941,22,22
755,40.51245327672222,-74.20687449416786,0,-1
850,40.51521528036774,-74.20026114278481,15,23
662,40.515289035700484,-74.21206434386843,3,22
756,40.51524864287771,-74.2061627400273,26,23
851,40.51971200628819,-74.20020762387314,25,22
663,40.51979310611528,-74.21201160931346,88,22
757,40.51975270690494,-74.20610961059354,31,23
852,40.52421606029967,-74.20015408747494,48,22
664,40.52429717295121,-74.21195886284812,14,22
193,40.51989056278228,-74.24053254085987,1,2
287,40.519951688857184,-74.23561972240526,3,23
194,40.52457172003585,-74.24082546155762,0,-1
288,40.52445578077017,-74.2355685558419,0,-1
382,40.52441658100532,-74.22966611503551,1,1
383,40.52892066314407,-74.22961454184633,0,-1
477,40.528881155671876,-74.22371171761957,8,22
571,40.52884134669266,-74.21780890513085,42,23
572,40.53334541271299,-74.21775652998504,3,4
478,40.53338522798697,-74.22365973762618,11,22
384,40.53342474170624,-74.22956295700833,0,-1
385,40.53792881669175,-74.22951136051856,0,-1
479,40.53788929672456,-74.22360774589175,40,23
573,40.537849475155,-74.21770414300899,59,22
758,40.52425676735247,-74.20605646916023,7,0
665,40.528801236208174,-74.21190610446938,6,23
853,40.528720110730475,-74.20010053898496,21,22
759,40.52876082422019,-74.20600331572435,32,23
854,40.53322415758054,-74.20004697840011,20,22
