cell_id,centroid_lat,centroid_lon,noise_night_count,peak_hour,night_light_avg,high_noise_risk,noise_night_count_log1p
5633,40.88658171573287,-73.89906124050714,466,22,58.8038330078125,1,6.1463292576688975
5634,40.89108508905505,-73.8989865890589,284,0,54.53549957275391,0,5.652489180268651
5822,40.890971164673246,-73.88711794895755,0,-1,23.500999450683597,0,0.0
5728,40.89102827949933,-73.89305226051238,0,-1,30.166166305541992,0,0.0
6101,40.87728799358214,-73.8695450517547,618,22,57.016998291015625,1,6.428105272684596
6008,40.88184934121245,-73.87540188007073,457,0,57.823001861572266,0,6.126869184114185
6102,40.88179132890052,-73.86946842423578,431,23,52.71900177001953,0,6.068425588244111
5914,40.881907048357945,-73.88133535316148,1580,22,66.15299987792969,1,7.365812837209472
5915,40.88641039829063,-73.88125951240806,290,0,47.452919006347656,0,5.673323267171493
6103,40.88629466057259,-73.86939177937006,53,1,29.751832962036133,0,3.9889840465642745
6009,40.8863526820389,-73.87532563725894,320,22,40.14216613769531,0,5.771441123130016
6104,40.89079798859824,-73.86931511715315,2,3,16.30033302307129,0,1.0986122886681098
5916,40.89091374457933,-73.8811836544854,96,22,29.625,0,4.574710978503383
6010,40.89085601922015,-73.87524937718692,0,-1,22.40449905395508,0,0.0
5541,40.89564497193572,-73.90484666841508,8,0,37.15291595458984,0,2.1972245773362196
5447,40.89570117981111,-73.91078143293414,19,22,25.59200096130371,0,2.995732273553991
5353,40.89557184448116,-73.9155716855705,1,0,15.871333122253418,0,0.6931471805599453
5448,40.90020456363862,-73.9107075523824,6,2,15.40583324432373,0,1.9459101490553132
5542,40.90014834689414,-73.90477238551006,22,22,22.872333526611328,0,3.1354942159291497
5354,40.90000906017995,-73.9147429683921,2,0,8.97599983215332,0,1.0986122886681098
5543,40.90465171821308,-73.90469808578675,380,22,30.994083404541016,0,5.942799375126701
5449,40.90468581235649,-73.91060029526027,1,23,19.115333557128903,0,0.6931471805599453
5823,40.8954745163784,-73.88704247610593,0,-1,14.807499885559082,0,0.0
5635,40.8955884587368,-73.89891192070998,364,23,36.76966857910156,0,5.8998973535824915
5729,40.895531640216845,-73.89297718990994,2,5,20.83766746520996,0,1.0986122886681098
5636,40.90009182477797,-73.89883723545609,178,23,22.898500442504883,0,5.187385805840755
5824,40.89997786444058,-73.88696698616724,0,-1,10.557666778564451,0,0.0
5730,40.90003499729261,-73.89290210231144,0,-1,14.625666618347168,0,0.0
5637,40.90459518717847,-73.89876253329278,137,22,24.446001052856445,0,4.927253685157205
5825,40.90448120885968,-73.88689147913708,0,-1,12.345083236694336,0,0.0
5731,40.90453835072649,-73.89282699771253,0,-1,16.389833450317383,0,0.0
5638,40.90909353581495,-73.89869427345809,548,22,27.87966728210449,1,6.3080984415095305
6105,40.89530131297737,-73.8692384375805,128,22,13.642333030700684,0,4.859812404361672
6011,40.8953593527561,-73.8751730998502,111,0,14.751667022705078,0,4.718498871295094
5917,40.895417087223976,-73.88110777938903,10,23,17.561500549316406,0,2.3978952727983707
6106,40.89980463370988,-73.86916174064774,224,22,25.419166564941406,0,5.41610040220442
6012,40.899862682646656,-73.87509680524435,32,23,16.78783416748047,0,3.4965075614664802
5918,40.89992042622441,-73.88103188711453,0,-1,12.836999893188477,0,0.0
6013,40.90361170688967,-73.8753133927432,0,-1,22.68099975585937,0,0.0
5919,40.904343444663645,-73.88104023070676,0,-1,17.51383399963379,0,0.0
6107,40.902786400519474,-73.8697751025168,1,23,29.851999282836918,0,0.6931471805599453
5544,40.90915508589244,-73.90462376924077,117,22,33.98249816894531,0,4.770684624465665
5450,40.90910161514261,-73.90999330528786,0,-1,17.03783416748047,0,0.0
5451,40.91321170164379,-73.90949304621289,0,-1,15.84666633605957,0,0.0
5545,40.9126093390716,-73.904985650517,23,23,34.1336669921875,0,3.1780538303479458
5826,40.90770120538408,-73.88730026305056,0,-1,22.89983367919922,0,0.0
5732,40.9085583197948,-73.89300095258409,1,23,23.46866607666016,0,0.6931471805599453
8702,40.7359682033299,-73.70617640981033,65,22,32.51008224487305,0,4.189654742026425
8608,40.736009588026015,-73.71206149788064,39,22,34.2321662902832,0,3.6888794541139363
8703,40.74044654108097,-73.70605410926449,89,22,30.387666702270508,0,4.499809670330265
8797,40.74039955322882,-73.70170701828785,42,22,46.96549987792969,0,3.7612001156935624
8609,40.7405127720936,-73.71197463046502,77,22,32.3009147644043,0,4.356708826689592
8704,40.74494971101191,-73.70596682309107,31,1,29.874000549316406,0,3.4657359027997265
8610,40.74501595248318,-73.71188774340457,93,22,37.83241653442383,0,4.543294782270004
8798,40.74482579164725,-73.70186972070988,58,23,46.96549987792969,0,4.07753744390572
